搬	642c	0xabc2
扳	6273	0xabc3
般	822c	0xabc4
颁	9881	0xabc5
板	677f	0xabc6
版	7248	0xabc7
扮	626e	0xabc8
拌	62cc	0xabc9
伴	4f34	0xabca
瓣	74e3	0xabcb
半	534a	0xabcc
办	529e	0xabcd
绊	7eca	0xabce
邦	90a6	0xabcf
帮	5e2e	0xabd0
梆	6886	0xabd1
榜	699c	0xabd2
膀	8180	0xabd3
绑	7ed1	0xabd4
棒	68d2	0xabd5
磅	78c5	0xabd6
蚌	868c	0xabd7
镑	9551	0xabd8
傍	508d	0xabd9
谤	8c24	0xabda
苞	82de	0xabdb
胞	80de	0xabdc
包	5305	0xabdd
褒	8912	0xabde
剥	5265	0xabdf
薄	8584	0xabe0
雹	96f9	0xabe1
保	4fdd	0xabe2
堡	5821	0xabe3
饱	9971	0xabe4
宝	5b9d	0xabe5
抱	62b1	0xabe6
报	62a5	0xabe7
暴	66b4	0xabe8
豹	8c79	0xabe9
鲍	9c8d	0xabea
爆	7206	0xabeb
杯	676f	0xabec
碑	7891	0xabed
悲	60b2	0xabee
卑	5351	0xabef
北	5317	0xabf0
辈	8f88	0xabf1
背	80cc	0xabf2
贝	8d1d	0xabf3
钡	94a1	0xabf4
倍	500d	0xabf5
狈	72c8	0xabf6
备	5907	0xabf7
惫	60eb	0xabf8
焙	7119	0xabf9
被	88ab	0xabfa
奔	5954	0xabfb
苯	82ef	0xabfc
本	672c	0xabfd
笨	7b28	0xabfe
崩	5d29	0xabff
绷	7ef7	0xac00
甭	752d	0xac01
泵	6cf5	0xac02
蹦	8e66	0xac03
迸	8ff8	0xac04
逼	903c	0xac05
鼻	9f3b	0xac06
比	6bd4	0xac07
鄙	9119	0xac08
笔	7b14	0xac09
彼	5f7c	0xac0a
碧	78a7	0xac0b
蓖	84d6	0xac0c
蔽	853d	0xac0d
毕	6bd5	0xac0e
毙	6bd9	0xac0f
毖	6bd6	0xac10
币	5e01	0xac11
庇	5e87	0xac12
痹	75f9	0xac13
闭	95ed	0xac14
敝	655d	0xac15
弊	5f0a	0xac16
必	5fc5	0xac17
辟	8f9f	0xac18
壁	58c1	0xac19
臂	81c2	0xac1a
避	907f	0xac1b
陛	965b	0xac1c
鞭	97ad	0xac1d
边	8fb9	0xac1e
编	7f16	0xac1f
贬	8d2c	0xac20
扁	6241	0xac21
便	4fbf	0xac22
变	53d8	0xac23
卞	535e	0xac24
辨	8fa8	0xac25
辩	8fa9	0xac26
辫	8fab	0xac27
遍	904d	0xac28
标	6807	0xac29
彪	5f6a	0xac2a
膘	8198	0xac2b
表	8868	0xac2c
鳖	9cd6	0xac2d
憋	618b	0xac2e
别	522b	0xac2f
瘪	762a	0xac30
彬	5f6c	0xac31
斌	658c	0xac32
濒	6fd2	0xac33
滨	6ee8	0xac34
宾	5bbe	0xac35
摈	6448	0xac36
兵	5175	0xac37
冰	51b0	0xac38
柄	67c4	0xac39
丙	4e19	0xac3a
秉	79c9	0xac3b
饼	997c	0xac3c
炳	70b3	0xac3d
病	75c5	0xac3e
并	5e76	0xac3f
玻	73bb	0xac40
菠	83e0	0xac41
播	64ad	0xac42
拨	62e8	0xac43
钵	94b5	0xac44
波	6ce2	0xac45
博	535a	0xac46
勃	52c3	0xac47
搏	640f	0xac48
铂	94c2	0xac49
箔	7b94	0xac4a
伯	4f2f	0xac4b
帛	5e1b	0xac4c
舶	8236	0xac4d
脖	8116	0xac4e
膊	818a	0xac4f
渤	6e24	0xac50
泊	6cca	0xac51
驳	9a73	0xac52
捕	6355	0xac53
卜	535c	0xac54
哺	54fa	0xac55
补	8865	0xac56
埠	57e0	0xac57
不	4e0d	0xac58
布	5e03	0xac59
步	6b65	0xac5a
簿	7c3f	0xac5b
部	90e8	0xac5c
怖	6016	0xac5d
擦	64e6	0xac5e
猜	731c	0xac5f
裁	88c1	0xac60
材	6750	0xac61
才	624d	0xac62
财	8d22	0xac63
睬	776c	0xac64
踩	8e29	0xac65
采	91c7	0xac66
彩	5f69	0xac67
菜	83dc	0xac68
蔡	8521	0xac69
餐	9910	0xac6a
参	53c2	0xac6b
蚕	8695	0xac6c
残	6b8b	0xac6d
惭	60ed	0xac6e
惨	60e8	0xac6f
灿	707f	0xac70
苍	82cd	0xac71
舱	8231	0xac72
仓	4ed3	0xac73
沧	6ca7	0xac74
藏	85cf	0xac75
操	64cd	0xac76
糙	7cd9	0xac77
槽	69fd	0xac78
曹	66f9	0xac79
草	8349	0xac7a
厕	5395	0xac7b
策	7b56	0xac7c
